Continent,Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
Africa,Sierra Leone,Presidential,2002,0.8143,1907455,2342547,0.7556,2524320,5426618,0,No
Asia,Singapore,Parliamentary,2020,0.9581,2540359,2651435,0.5137,4945158,6209660,0.018,Yes
Asia,Singapore,Parliamentary,2015,0.937,2307746,2462926,0.5213,4420371,5674472,0.0205,Yes
Asia,Singapore,Parliamentary,2011,0.9318,2060373,2211102,0.5295,3891370,5183700,0.0217,Yes
Asia,Singapore,Parliamentary,2006,0.9401,1149668,1222884,0.3217,3573273,4389000,0,Yes
Asia,Singapore,Parliamentary,2001,0.9461,638903,675306,0.2144,2980081,4169481,0.0214,Yes
Asia,Singapore,Presidential,2011,0.948,2156389,2274773,0.5541,3891370,5183700,0.0176,Yes
Europe,Slovakia,Parliamentary,2020,0.6581,2916840,4432419,0.6539,4460525,5440602,0.0121,No
Europe,Slovakia,Parliamentary,2016,0.5982,2648184,4426760,0.5943,4455753,5445802,0.0153,No
Europe,Slovakia,Parliamentary,2012,0.5911,2596443,4392451,0.5785,4488381,5483088,0,No
Europe,Slovakia,Parliamentary,2010,0.5884,2566779,4362369,0.5838,4396639,5470306,0.0146,No
Europe,Slovakia,Parliamentary,2006,0.5467,2335917,4272517,0.564,4141957,5439448,0.014,No
Europe,Slovakia,Parliamentary,2002,0.7007,2913267,4157802,0.7163,4067252,5379455,0.013,No
Europe,Slovakia,Presidential,2019,0.4874,2158859,4419883,0.4837,4462884,5443336,0.0063,No
Europe,Slovakia,Presidential,2014,0.5048,2224382,4406261,0.5111,4351806,5443583,0.0104,No
Europe,Slovakia,Presidential,2009,0.5167,2242162,4339257,0.5125,4375254,5463046,0.0083,No
Europe,Slovakia,Presidential,2004,0.4348,1827282,4202597,0.4412,4141957,5430033,0.0139,No
Europe,Slovakia,EU Parliament,2019,0.2274,1007398,4429801,0.2257,4462884,5443336,0.0206,No
Europe,Slovakia,EU Parliament,2014,0.1305,575876,4414433,0.1314,4381043,5443583,0.0266,No
Europe,Slovakia,EU Parliament,2009,0.1964,853533,4345773,0.1951,4375254,5463046,0.0302,No
Europe,Slovakia,EU Parliament,2004,0.1697,714508,4210463,0.1745,4093515,5380053,0.018,No
Europe,Slovenia,Parliamentary,2022,0.7097,1203522,1695796,0.6944,1733130,2101208,0.0092,No
Europe,Slovenia,Parliamentary,2018,0.5264,901512,1712676,0.5458,1651708,1965706,0.0115,No
Europe,Slovenia,Parliamentary,2014,0.5173,886124,1713067,0.5409,1638247,1988292,0.013,No
Europe,Slovenia,Parliamentary,2011,0.656,1121475,1709692,0.6699,1674170,2000092,0.0171,No
Europe,Slovenia,Parliamentary,2008,0.631,1070523,1696437,0.6504,1645967,2007711,0.017,No
Europe,Slovenia,Parliamentary,2004,0.6064,991123,1634402,0.6109,1622422,2011473,0.023,No
Europe,Slovenia,Parliamentary,2000,0.7036,1116423,1586695,0.7233,1543425,1987985,0.033,No
Europe,Slovenia,Presidential,2012,0.4241,725768,1711461,0.4341,1671967,1996617,0.0205,No
Europe,Slovenia,Presidential,2007,0.5845,1005359,1720174,0.6126,1641161,2009245,0.0097,No
Europe,Slovenia,Presidential,2002,0.6524,1050533,1610234,0.6547,1604505,1930132,0.0136,No
Europe,Slovenia,EU Parliament,2019,0.2889,492618,1704866,0.2838,1735491,2102538,0.0211,No
Europe,Slovenia,EU Parliament,2014,0.2455,419975,1710856,0.2564,1638247,1988292,0.0419,No
Europe,Slovenia,EU Parliament,2009,0.2833,481559,1699744,0.2883,1670570,2005692,0.0386,No
Europe,Slovenia,EU Parliament,2004,0.2835,461879,1628918,0.3187,1449120,1996433,0.056,No
Oceania,Solomon Islands,Parliamentary,2019,0.6754,242920,359690,0.6001,404778,672631,0,No
Oceania,Solomon Islands,Parliamentary,2014,0.8993,258607,287565,0.805,321236,609883,0,No
Oceania,Solomon Islands,Parliamentary,2010,0.5236,234366,447612,0.7573,309471,559198,0,No
Oceania,Solomon Islands,Parliamentary,2006,0.5695,193459,339688,0.7037,274924,483800,0.013,No
Oceania,Solomon Islands,Parliamentary,2001,0.6188,178161,287921,0.7716,230907,445906,0,No
Africa,South Africa,Parliamentary,2019,0.6605,17671616,26756649,0.4728,37372792,55918443,0.0133,No
Africa,South Africa,Parliamentary,2014,0.7348,18654771,25388082,0.5377,34691652,54002000,0,No
Africa,South Africa,Parliamentary,2009,0.773,17919966,23181997,0.5657,31678238,49052489,0.0134,No
Africa,South Africa,Parliamentary,2004,0.7673,15863554,20674926,0.5677,27944712,42768678,0.016,No
Africa,South Sudan,Presidential,2010,0.5862,2813830,4800000,0.6334,4442454,9584299,0,No
Europe,Spain,Parliamentary,2019,0.7176,26478140,36898883,0.6514,40650233,49683254,0.018,No
Europe,Spain,Parliamentary,2016,0.6984,24161083,34597038,0.6087,39691061,48563476,0.0168,No
Europe,Spain,Parliamentary,2015,0.732,25350447,34631086,0.6439,39368731,48146134,0.0164,No
Europe,Spain,Parliamentary,2011,0.6894,24666441,35779491,0.6326,38995155,47021031,0.0129,No
Europe,Spain,Parliamentary,2008,0.7532,25514671,33875268,0.693,36819817,45283259,0.018,No
Europe,Spain,Parliamentary,2004,0.7566,26155436,34571831,0.7625,34304048,42345342,0.026,No
Europe,Spain,Parliamentary,2000,0.6871,23339490,33969640,0.7379,31631640,39394773,0.007,No
Europe,Spain,EU Parliament,2019,0.643,22603898,35153255,0.5561,40650233,49683254,0.0182,No
Europe,Spain,EU Parliament,2014,0.4381,15998141,36514084,0.4121,38823070,47737941,0.018,No
Europe,Spain,EU Parliament,2009,0.449,15935147,35492567,0.4189,38044945,46157822,0.0063,No
Europe,Spain,EU Parliament,2004,0.4514,15666491,34706044,0.4567,34304048,42345342,0.0098,No
Asia,Sri Lanka,Parliamentary,2020,0.7589,12343309,16263885,0.7467,16531050,22889201,0.0603,No
Asia,Sri Lanka,Parliamentary,2015,0.7766,11684111,15044490,0.7655,15262770,21866445,0.0442,No
Asia,Sri Lanka,Parliamentary,2010,0.6126,8630689,14088500,0.5832,14799473,21083826,0.0692,No
Asia,Sri Lanka,Parliamentary,2004,0.7596,9797680,12899139,0.7078,13843060,19742439,0.055,No
Asia,Sri Lanka,Parliamentary,2001,0.7603,9449813,12428762,0.7224,13080281,19263057,0.052,No
Asia,Sri Lanka,Parliamentary,2000,0.7563,9128823,12071062,0.8216,11110498,19051116,0.053,No
Asia,Sri Lanka,Presidential,2019,0.8372,13387951,15992096,0.8191,16343744,22736505,0.0101,No
Asia,Sri Lanka,Presidential,2015,0.8152,12264377,15044490,0.8035,15262770,21866445,0.0115,No
Asia,Sri Lanka,Presidential,2010,0.745,10495451,14088500,0.7092,14799473,21083826,0.0097,No
Asia,Sri Lanka,Presidential,2005,0.7291,9717039,13327160,0.691,14062676,20064776,0.011,No
Asia,State of Palestine,Parliamentary,2006,0.777,1042424,1341671,0.5765,1808337,3761904,0.049,No
Asia,State of Palestine,Presidential,2005,0.4556,802077,1760481,0.4602,1742877,3636195,0.072,No
Africa,Sudan,Parliamentary,2015,0.464,6091412,13126989,0.3097,19667400,38435252,0.0831,No
Africa,Sudan,Parliamentary,2010,0.72,11646822,16176142,0.6411,18168000,35505000,0,No
Africa,Sudan,Parliamentary,2000,0,0,12000000,0,16503927,34109304,0,No
Africa,Sudan,Presidential,2015,0.464,6091412,13126989,0.3097,19667400,38435252,0.0831,No
Africa,Sudan,Presidential,2010,0.72,11646822,16176142,0.6411,18168000,35505000,0,No
Africa,Sudan,Presidential,2000,0,0,12000000,0,16503927,34109304,0,No
South America,Suriname,Parliamentary,2020,0.7157,274352,383333,0.628,436850,609569,0,No
South America,Suriname,Parliamentary,2015,0.7532,265909,353031,0.651,397915,579633,0.0312,No
South America,Suriname,Parliamentary,2010,0.7321,237575,324490,0.6561,362082,545859,0,No
South America,Suriname,Parliamentary,2005,0.4668,155888,333985,0.5299,294209,436935,0.007,No
South America,Suriname,Parliamentary,2000,0.6985,185064,264961,0.7234,255841,416901,0.026,No
Europe,Sweden,Parliamentary,2022,0.8421,6547625,7775390,0.8034,8149656,10337445,0.0107,No
Europe,Sweden,Parliamentary,2018,0.8718,6535271,7495936,0.8208,7962006,10040995,0.009,No
Europe,Sweden,Parliamentary,2014,0.8581,6290016,7330432,0.8261,7614029,9723809,0.0092,No
Europe,Sweden,Parliamentary,2010,0.8463,6028682,7123651,0.8263,7296284,9074055,0.0114,No
Europe,Sweden,Parliamentary,2006,0.8199,5650416,6892009,0.806,7010777,9082995,0.018,No
Europe,Sweden,Parliamentary,2002,0.8011,5385430,6722152,0.7804,6900985,8876744,0.015,No
Europe,Sweden,EU Parliament,2019,0.5527,4187848,7576917,0.5229,8009142,10121794,0.0087,No
Europe,Sweden,EU Parliament,2014,0.5107,3758951,7359962,0.4937,7614029,9723809,0.0113,No
Europe,Sweden,EU Parliament,2009,0.4553,3227561,7088303,0.4676,6902400,9283677,0.0183,No
Europe,Sweden,EU Parliament,2004,0.3785,2584464,6827870,0.3727,6934040,8975670,0.028,No
Europe,Switzerland,Parliamentary,2019,0.4512,2462581,5457940,0.3606,6829807,8348737,0.0156,No
Europe,Switzerland,Parliamentary,2015,0.4851,2563052,5283556,0.3863,6634505,8121830,0.0162,No
Europe,Switzerland,Parliamentary,2011,0.495,2485403,5124034,0.3959,6278531,7639961,0.0172,No
Europe,Switzerland,Parliamentary,2007,0.4828,2373071,4915623,0.3979,5964448,7554661,0.018,No
Europe,Switzerland,Parliamentary,2003,0.4523,2161921,4779733,0.3727,5801412,7318638,0.0175,No
Asia,Syrian Arab Republic,Parliamentary,2020,0.3317,6224687,18766014,0.5288,11771832,19398448,0,No
Asia,Syrian Arab Republic,Parliamentary,2016,0.5756,5085444,8834994,0.4789,10619172,17185170,0,No
Asia,Syrian Arab Republic,Parliamentary,2012,0.5126,2658834,5186957,0.2028,13113495,22530746,0,No
Asia,Syrian Arab Republic,Parliamentary,2007,0.56,4371357,7805994,0.4152,10527648,19314747,0,No
Asia,Syrian Arab Republic,Parliamentary,2003,0.6345,4556475,7181206,0.5005,9104574,17874577,0,No
Asia,Syrian Arab Republic,Presidential,2021,0.7864,14239140,18107109,1.1477,12406888,20384316,0.001,No
Asia,Syrian Arab Republic,Presidential,2014,0.7342,11634412,15845575,1.0721,10852241,17951639,0.038,No
Asia,Taiwan,Parliamentary,2020,0.7486,14456293,19312105,0.7431,19454487,23603049,0.0205,No
Asia,Taiwan,Parliamentary,2016,0.6625,12447036,18786940,0.6584,18906005,23464787,0.0206,No
Asia,Taiwan,Parliamentary,2012,0.747,13514199,18086455,0.7422,18115247,23230506,0,No
Asia,Taiwan,Parliamentary,2008,0.585,10050619,17179656,0.568,17693301,22858872,0.016,No
Asia,Taiwan,Parliamentary,2004,0.5916,9796299,16559254,0.579,16919243,22605000,0.0081,No
Asia,Taiwan,Parliamentary,2001,0.6616,10468990,15822684,0.6314,16580286,22335805,0.013,No
Asia,Taiwan,Presidential,2020,0.749,14464571,19311105,0.7435,19454487,23603049,0.0113,No
Asia,Taiwan,Presidential,2016,0.6627,12448302,18782991,0.6584,18906005,23464787,0.0131,No
Asia,Taiwan,Presidential,2012,0.7438,13452016,18086455,0.7426,18115247,23230506,0.0073,No
Asia,Taiwan,Presidential,2008,0.7633,13221609,17321622,0.7473,17693301,22858872,0.009,No
Asia,Taiwan,Presidential,2004,0.8028,13251719,16507179,0.7832,16919243,22605000,0.026,No
Asia,Taiwan,Presidential,2000,0.8269,12786671,15462625,0.7758,16482816,22092387,0.01,No
Asia,Tajikistan,Parliamentary,2020,0.8644,4260951,4929128,0.7628,5585968,8873669,0,No
Asia,Tajikistan,Parliamentary,2015,0.82,3540760,4318000,0.7716,4588724,8051512,0,No
Asia,Tajikistan,Parliamentary,2010,0.9084,3289377,3621174,0.593,4440442,7487489,0.0066,No
Asia,Tajikistan,Parliamentary,2005,0.9323,2583919,2771528,0.7073,3653118,7011556,0.024,No
Asia,Tajikistan,Parliamentary,2000,0.9336,2683010,2873745,0.8556,3135743,6244770,0.025,No
Asia,Tajikistan,Presidential,2020,0.8534,4221076,4946289,0.7557,5585968,8873669,0.0125,No
Asia,Tajikistan,Presidential,2013,0.9016,3787703,4201156,0.7913,4786581,7910041,0.0104,No
Asia,Tajikistan,Presidential,2006,0.9101,3054573,3356304,0.8078,3781554,7320815,0.013,No
Africa,"Tanzania, United Republic of",Parliamentary,2015,0.6268,14574957,23253982,0.5831,24994742,51045882,0,No
Africa,"Tanzania, United Republic of",Parliamentary,2010,0.3949,7952497,20137303,0.3753,21189992,41892895,0,No
Africa,"Tanzania, United Republic of",Parliamentary,2005,0.6964,11438350,16425913,0.6551,17459595,36766356,0.053,No
Africa,"Tanzania, United Republic of",Parliamentary,2000,0.7277,7341067,10088484,0.4572,16055200,33517000,0.046,No
Africa,"Tanzania, United Republic of",Parliamentary,2020,0,0,0,0,29480237,58552845,0,No
Africa,"Tanzania, United Republic of",Presidential,2020,0.5072,15091950,29754699,0.5119,29480237,58552845,0.0173,No
Africa,"Tanzania, United Republic of",Presidential,2015,0.6734,15596110,23161440,0.624,24994742,51045882,0.0258,No
Africa,"Tanzania, United Republic of",Presidential,2010,0.4284,8626283,20137303,0.4071,21189992,41892895,0.0264,No
Africa,"Tanzania, United Republic of",Presidential,2005,0.7223,11875927,16442657,0.6802,17459595,36766356,0.043,No
Africa,"Tanzania, United Republic of",Presidential,2000,0.8443,8517648,10088484,0.5305,16055200,33517000,0.041,No
Asia,Thailand,Parliamentary,2019,0.7469,38268375,51239638,0.6975,54866829,68804427,0.0557,Yes
Asia,Thailand,Parliamentary,2014,0.4679,20130929,43024000,0.3935,51152704,67497151,0.1205,Yes
Asia,Thailand,Parliamentary,2011,0.7503,35203107,46918709,0.6929,50807011,67041000,0.049,Yes
Asia,Thailand,Parliamentary,2007,0.7851,35844272,45658170,0.7623,47021213,63937800,0.088,Yes
Asia,Thailand,Parliamentary,2006,0.6477,29088209,44909562,0.6261,46461491,63470400,0.058,Yes
Asia,Thailand,Parliamentary,2005,0.7513,33693624,44846472,0.7346,45866519,63003000,0.057,Yes
Asia,Thailand,Parliamentary,2001,0.6995,29909271,42759001,0.7011,42663353,62862098,0.1,Yes
Asia,Timor-Leste,Parliamentary,2018,0.8098,635116,784286,0.9153,693914,1321929,0.0167,No
Asia,Timor-Leste,Parliamentary,2017,0.7674,583956,760907,0.8326,701368,1291358,0.0272,No
Asia,Timor-Leste,Parliamentary,2007,0.8054,426210,529198,0.7163,595005,1084971,0.0187,No
Asia,Timor-Leste,Parliamentary,2001,0.8603,384248,446666,0.8457,454362,737811,0.054,No
Asia,Timor-Leste,Presidential,2022,0.7726,664106,859613,0.8145,815316,1445006,0.0184,No
Asia,Timor-Leste,Presidential,2017,0.7116,528813,743150,0.754,701368,1291358,0.0228,No
Asia,Timor-Leste,Presidential,2012,0.7312,458703,627295,0.7628,601323,1201255,0.0148,No
Asia,Timor-Leste,Presidential,2007,0.81,424475,524073,0.7134,595005,1084971,0.0219,No
Asia,Timor-Leste,Presidential,2002,0.9726,427198,439254,0.8779,486612,908700,0.0364,No
Africa,Togo,Parliamentary,2018,0.5925,1869717,3155837,0.4266,4382547,8176449,0.0634,No
Africa,Togo,Parliamentary,2013,0.6606,2011203,3044332,0.5772,3484413,7154237,0.057,No
Africa,Togo,Parliamentary,2007,0.8492,2526049,2974718,0.9097,2776908,5701579,0.072,No
Africa,Togo,Parliamentary,2002,0.6743,1915875,2841079,0.8229,2328329,5153088,0,No
Africa,Togo,Presidential,2020,0.9228,3449989,3738786,0.7427,4645140,8608444,0.2793,No
Africa,Togo,Presidential,2015,0.6094,2138438,3509258,0.5321,4019183,7552318,0.0275,No
Africa,Togo,Presidential,2010,0.6468,2119829,3277492,0.6579,3222000,6291000,0.0374,No
Africa,Togo,Presidential,2005,0.6358,2288279,3599306,0.8836,2589797,5556812,0.037,No
Africa,Togo,Presidential,2003,0.7199,2327675,3233353,0.9646,2412988,5285501,0,No
Oceania,Tonga,Parliamentary,2021,0.6192,38550,62253,0.6441,59853,105780,0,No
Oceania,Tonga,Parliamentary,2017,0.67,39613,59000,0.6936,57116,106479,0,No
Oceania,Tonga,Parliamentary,2014,0.768,39512,51448,0.7837,50418,106440,0,No
Oceania,Tonga,Parliamentary,2010,0.9085,38516,42395,0.7249,53135,105632,0.0017,No
Oceania,Tonga,Parliamentary,2008,0.4669,32091,68730,0.478,67138,119009,0,No
Oceania,Tonga,Parliamentary,2005,0.5052,33119,65555,0.55,60215,110237,0,No
North America,Trinidad and Tobago,Parliamentary,2020,0.5804,658297,1134135,0.7026,936904,1208789,0.0027,No
North America,Trinidad and Tobago,Parliamentary,2015,0.6684,734792,1099279,0.781,940813,1222363,0.0033,No
North America,Trinidad and Tobago,Parliamentary,2010,0.6945,722322,1040127,0.7716,936079,1228691,0.0036,No
North America,Trinidad and Tobago,Parliamentary,2007,0.6603,653882,990352,0.7252,901612,1056608,0.004,No
North America,Trinidad and Tobago,Parliamentary,2002,0.6964,609571,875260,0.7191,847651,1163724,0.005,No
North America,Trinidad and Tobago,Parliamentary,2001,0.6613,561993,849874,0.6498,864805,1249053,0.005,No
North America,Trinidad and Tobago,Parliamentary,2000,0.6305,597525,947689,0.6999,853781,1289594,0.005,No
Africa,Tunisia,Parliamentary,2019,0.417,2946628,7065885,0.3585,8219612,11622134,0.0258,No
Africa,Tunisia,Parliamentary,2014,0.6772,3579257,5285136,0.4539,7885952,10937521,0.0478,No
Africa,Tunisia,Parliamentary,2011,0.9224,4308888,4671276,0.539,7993924,10606714,0.063,No
Africa,Tunisia,Parliamentary,2009,0.894,4447388,4974707,0.6087,7306000,10486339,0.002,No
Africa,Tunisia,Parliamentary,2004,0.8641,4215151,4877905,0.642,6565677,9974722,0.004,No
Africa,Tunisia,Presidential,2019,0.5502,3892085,7074566,0.4735,8219612,11622134,0.0266,No
Africa,Tunisia,Presidential,2014,0.6011,3189382,5306324,0.4044,7885952,10937521,0.0249,No
Africa,Tunisia,Presidential,2009,0.8945,4737367,5296008,0.6484,7306000,10486339,0.0016,No
Africa,Tunisia,Presidential,2004,0.9152,4464337,4877905,0.68,6565677,9974722,0.003,No
Asia,Turkey,Parliamentary,2018,0.8622,51189444,59367469,0.8895,57547968,81257239,0.0206,Yes
Asia,Turkey,Parliamentary,2015,0.8523,48537695,56949009,0.843,57579752,82523053,0.0144,Yes
Asia,Turkey,Parliamentary,2011,0.8316,43914948,52806322,0.8643,50809416,73722988,0.0222,Yes
Asia,Turkey,Parliamentary,2007,0.8425,36056293,42799303,0.7446,48423209,71158647,0.028,Yes
Asia,Turkey,Parliamentary,2002,0.7914,32768161,41407027,0.7586,43198055,66493970,0.0378,Yes
Asia,Turkey,Presidential,2018,0.8624,51197959,59367469,0.8897,57547968,81257239,0.0221,Yes
Asia,Turkey,Presidential,2014,0.7413,41283627,55692841,0.7437,55509734,81619392,0.0178,Yes
Asia,Turkmenistan,Parliamentary,2018,0.9169,3017801,3291312,0.8033,3756802,5411012,0,No
Asia,Turkmenistan,Parliamentary,2013,0.9133,2797637,3063218,0.8333,3357359,5113040,0,No
Asia,Turkmenistan,Parliamentary,2008,0.9387,2594658,2763993,0.8474,3061730,4829332,0,No
Asia,Turkmenistan,Parliamentary,2004,0.7688,1472252,1915000,0.558,2638445,4863169,0,No
Asia,Turkmenistan,Presidential,2022,0.9717,3362052,3460080,0.8444,3981495,5636011,0,No
Asia,Turkmenistan,Presidential,2017,0.9728,3163692,3252243,0.8547,3701607,5351277,0,No
Asia,Turkmenistan,Presidential,2012,0.967,2888742,2987324,0.8703,3319136,5054828,0,No
Asia,Turkmenistan,Presidential,2007,0.9872,2643192,2677589,1.0018,2638445,5570129,0.013,No
Oceania,Tuvalu,Parliamentary,2002,0.7999,4150,5188,0.6315,6572,10267,0,No
Oceania,Tuvalu,Parliamentary,2019,0,10202,0,0,7372,11244,0,No
Oceania,Tuvalu,Parliamentary,2015,0,7819,0,1.1105,7041,10869,0,No
Oceania,Tuvalu,Parliamentary,2010,0,0,6008,0,6519,10472,0,No
Oceania,Tuvalu,Parliamentary,2006,0,0,0,0,7230,11636,0,No
Africa,Uganda,Parliamentary,2021,0.5523,9998554,18103603,0.4977,20088747,44712143,0,No
Africa,Uganda,Parliamentary,2016,0.6761,10329131,15277198,0.6037,17110660,38319241,0.049,No
Africa,Uganda,Parliamentary,2011,0.5929,8272760,13954129,0.5532,14954435,34612250,0.0405,No
Africa,Uganda,Parliamentary,2006,0.68,7106536,10450788,0.6012,11820000,27269482,0.03,No
Africa,Uganda,Parliamentary,2001,0.7031,7576144,10775836,0.7423,10206461,22070329,0.027,No
Africa,Uganda,Presidential,2021,0.5935,10744319,18103603,0.5348,20088747,44712143,0.0366,No
Africa,Uganda,Presidential,2016,0.6761,10329131,15277198,0.6037,17110660,38319241,0.049,No
Africa,Uganda,Presidential,2011,0.5929,8272760,13954129,0.5532,14954435,34612250,0.0405,No
Africa,Uganda,Presidential,2006,0.6919,7230456,10450788,0.6117,11820000,27269482,0.041,No
Africa,Uganda,Presidential,2001,0.7031,7576144,10775836,0.7423,10206461,22070329,0.027,No
Europe,Ukraine,Parliamentary,2019,0.492,14749867,29278586,0.4129,35723124,43964969,0.0093,No
Europe,Ukraine,Parliamentary,2014,0.5242,18174440,34670814,0.4998,36363250,44291413,0,No
Europe,Ukraine,Parliamentary,2012,0.574,20759472,36163839,0.5594,37107767,44854065,0.0197,No
Europe,Ukraine,Parliamentary,2007,0.6203,23315257,37588040,0.6273,37165613,46299862,0.044,No
Europe,Ukraine,Parliamentary,2006,0.6719,24990424,37191928,0.672,37188299,46929500,0.0177,No
Europe,Ukraine,Parliamentary,2002,0.6924,25874271,37368748,0.6957,37189218,48760474,0.039,No
Europe,Ukraine,Presidential,2019,0.6251,18893864,30225165,0.5304,35723124,43964969,0.0118,No
Europe,Ukraine,Presidential,2014,0.6082,18019504,29625200,0.4955,36363250,44291413,0,No
Europe,Ukraine,Presidential,2010,0.697,25493529,36576763,0.6795,37518273,45415596,0.0119,No
Europe,Ukraine,Presidential,2004,0.7728,29068971,37613022,0.7813,37206111,47732079,0.0145,No
Europe,United Kingdom,Parliamentary,2019,0.6755,32132029,47567752,0.6204,51793515,65436510,0.0037,No
Europe,United Kingdom,Parliamentary,2017,0.6931,32463654,46835433,0.6325,51329650,64769452,0.0023,No
Europe,United Kingdom,Parliamentary,2015,0.6612,30697860,46425386,0.6045,50780423,64088222,0,No
Europe,United Kingdom,Parliamentary,2010,0.6577,29991471,45597461,0.6106,49116522,62348447,0.0103,No
Europe,United Kingdom,Parliamentary,2005,0.6136,27148510,44245939,0.5832,46554470,60270708,0.003,No
Europe,United Kingdom,Parliamentary,2001,0.5938,26365192,44403238,0.5756,45804132,59434645,0.004,No
Europe,United Kingdom,EU Parliament,2019,0.369,17199701,46611655,0.3321,51793515,65436510,0,No
Europe,United Kingdom,EU Parliament,2014,0.354,16454990,46482909,0.332,49557644,63742977,0,No
Europe,United Kingdom,EU Parliament,2009,0.3448,15625823,45315669,0.3205,48758032,61996848,0.0318,No
Europe,United Kingdom,EU Parliament,2004,0.3921,17312030,44157267,0.3789,45684593,59699828,0.0176,No
North America,United States,Parliamentary,2020,0.7075,161303109,228004364,0.6236,258672483,332639102,0,No
North America,United States,Parliamentary,2018,0.5684,120314461,211665577,0.4749,253368356,326687501,0,No
North America,United States,Parliamentary,2016,0.6544,140114503,214109367,0.562,249291898,323995528,0,No
North America,United States,Parliamentary,2014,0.425,81033355,190669639,0.3298,245712915,318892103,0,No
North America,United States,Parliamentary,2012,0.6444,124793121,193653908,0.518,240926957,312780968,0,No
North America,United States,Parliamentary,2010,0.4859,90810679,186874157,0.3851,235809266,308282053,0,No
North America,United States,Parliamentary,2008,0.6436,122586293,190461401,0.5259,233087000,303824640,0,No
North America,United States,Parliamentary,2006,0.4752,82121411,172805006,0.3732,220043054,298444215,0.004,No
North America,United States,Parliamentary,2004,0.6875,121862329,177265030,0.5531,220336019,293027571,0,No
North America,United States,Parliamentary,2002,0.4531,73844526,162993315,0.3509,210464504,278058881,0,No
North America,United States,Parliamentary,2000,0.6376,99738383,156421311,0.4735,210623408,284970789,0,No
North America,United States,Presidential,2020,0.7075,161303109,228004364,0.6236,258672483,332639102,0,No
North America,United States,Presidential,2016,0.6544,140114503,214109367,0.562,249291898,323995528,0,No
North America,United States,Presidential,2012,0.6666,129085403,193653908,0.5358,240926957,312780968,0,No
North America,United States,Presidential,2008,0.7033,133944538,190461401,0.5747,233087000,303824640,0,No
North America,United States,Presidential,2004,0.885,125736000,142070000,0.5707,220336019,293027571,0.027,No
North America,United States,Presidential,2000,0.8555,110826000,129549000,0.5262,210623408,284970789,0.0013,No
South America,Uruguay,Parliamentary,2019,0.9013,2433364,2699978,0.9488,2564637,3378471,0.0363,Yes
South America,Uruguay,Parliamentary,2014,0.8962,2348833,2620791,0.9829,2389639,3332972,0.0328,Yes
South America,Uruguay,Parliamentary,2009,0.8991,2304686,2563250,0.9688,2378807,3293765,0.0118,Yes
South America,Uruguay,Parliamentary,2004,0.8962,2229583,2487816,0.9314,2393866,3399237,0.024,Yes
South America,Uruguay,Presidential,2019,0.9013,2433364,2699978,0.9488,2564637,3378471,0.0363,Yes
South America,Uruguay,Presidential,2014,0.8857,2321230,2620791,0.9714,2389639,3332972,0.0595,Yes
South America,Uruguay,Presidential,2009,0.8918,2285958,2563285,0.961,2378807,3293765,0.0178,Yes
South America,Uruguay,Presidential,2004,0.8829,2196491,2487816,0.9175,2393866,3399237,0.024,Yes
Asia,Uzbekistan,Parliamentary,2019,0.678,13963627,20596570,0.6139,21754943,30296157,0.024,No
Asia,Uzbekistan,Parliamentary,2014,0.8894,18490245,20789572,0.9693,19076498,28929716,0,No
Asia,Uzbekistan,Parliamentary,2010,0.8776,15108000,17215700,0.8222,18374902,27865738,0,No
Asia,Uzbekistan,Parliamentary,2004,0.851,12197159,14332736,0.8066,15122293,26851195,0,No
Asia,Uzbekistan,Presidential,2021,0.8042,16212343,20158907,0.7242,22387219,30842796,0.0024,No
Asia,Uzbekistan,Presidential,2016,0.8773,17951667,20461805,0.8617,20833306,29473614,0.0186,No
Asia,Uzbekistan,Presidential,2015,0.9108,18942349,20798520,0.9841,19248000,30492800,0.0156,No
Asia,Uzbekistan,Presidential,2007,0.906,14765444,16297400,0.8984,16435340,27780059,0.029,No
Asia,Uzbekistan,Presidential,2000,0,12123199,0,0.912,13292635,24687575,0.0388,No
Oceania,Vanuatu,Parliamentary,2020,0.5129,143076,278954,0.8,178839,298333,0.0074,No
Oceania,Vanuatu,Parliamentary,2016,0.5647,111472,197400,0.7001,159220,277554,0.0057,No
Oceania,Vanuatu,Parliamentary,2012,0.6322,121792,192632,0.85,143293,256155,0.013,No
Oceania,Vanuatu,Parliamentary,2008,0.7038,107002,152043,0.8278,129255,230820,0.014,No
Oceania,Vanuatu,Parliamentary,2004,0.6858,91551,133497,0.793,115450,205754,0.012,No
Oceania,Vanuatu,Parliamentary,2002,0.6347,80657,127069,0.7418,108735,192910,0.018,No
South America,Venezuela,Parliamentary,2020,0.3009,6232662,20710421,0.3138,19864379,28612153,0,No
South America,Venezuela,Parliamentary,2015,0.7376,14385349,19504106,0.7378,19498303,29275460,0.0477,No
South America,Venezuela,Parliamentary,2010,0.6642,11596239,17458473,0.666,17413026,27223228,0.0248,No
South America,Venezuela,Parliamentary,2005,0.2526,3604741,14272964,0.2388,15095296,25375281,0.057,No
South America,Venezuela,Parliamentary,2000,0.5605,6560503,11705702,0.4643,14131207,24185517,0.3204,No
South America,Venezuela,Presidential,2018,0.4574,9389056,20526978,0.4367,21502096,31689176,0.0189,No
