Continent,Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
South America,Peru,Presidential,2006,0.8771,14468049,16494906,0.8319,17391147,27925628,0.074,Yes
South America,Peru,Presidential,2001,0.8137,12128969,14906233,0.7861,15429603,26076958,0.116,Yes
South America,Peru,Presidential,2000,0.8258,11842089,14340169,0.7653,15473768,25796957,0.079,Yes
Asia,Philippines,Parliamentary,2022,0.8383,55114084,65745512,0.787,70026672,112476027,0.1258,No
Asia,Philippines,Parliamentary,2019,0.7431,47296442,63643263,0.7191,65771984,107535277,0.1324,No
Asia,Philippines,Parliamentary,2016,0.8195,44549212,54363844,0.7217,61728990,102624209,0,No
Asia,Philippines,Parliamentary,2013,0.7731,40214324,52014648,0.6945,57908028,97760753,0,No
Asia,Philippines,Parliamentary,2010,0.7498,38162985,50896164,0.6993,54574173,93136651,0.0909,N/A
Asia,Philippines,Parliamentary,2007,0.6368,28945710,45453236,0.5487,52752550,91077287,0,No
Asia,Philippines,Parliamentary,2004,0.7697,33510092,43536028,0.6877,48727136,87857473,0,No
Asia,Philippines,Parliamentary,2001,0.8108,27709510,34176376,0.6475,42795056,77599533,0,No
Asia,Philippines,Presidential,2022,0.8307,56095234,67525619,0.8011,70026672,112476027,0.0406,No
Asia,Philippines,Presidential,2016,0.8195,44549212,54363844,0.7217,61728990,102624209,0,No
Asia,Philippines,Presidential,2010,0.7498,38162985,50896164,0.647,58986204,99900177,0,No
Asia,Philippines,Presidential,2004,0.7697,33510092,43536028,0.6877,48727136,87857473,0.119,No
Europe,Poland,Parliamentary,2019,0.6174,18678457,30253556,0.5908,31615893,38356121,0.0111,No
Europe,Poland,Parliamentary,2015,0.5092,15595335,30629150,0.494,31568464,38301885,0.0253,No
Europe,Poland,Parliamentary,2011,0.4892,15050027,30762931,0.4854,31002361,37748288,0.0452,No
Europe,Poland,Parliamentary,2007,0.5388,16495045,30615471,0.5424,30411197,38518241,0.021,No
Europe,Poland,Parliamentary,2005,0.4057,12263640,30229031,0.4087,30003160,38635144,0.036,No
Europe,Poland,Parliamentary,2001,0.4618,13559412,29364455,0.4763,28469123,38646023,0.04,No
Europe,Poland,Presidential,2020,0.6818,20636635,30268543,0.654,31555867,38282325,0.0086,No
Europe,Poland,Presidential,2015,0.5534,16993169,30709281,0.5383,31568464,38301885,0.0147,No
Europe,Poland,Presidential,2010,0.5531,17054690,30833924,0.545,31292110,37798299,0.0116,No
Europe,Poland,Presidential,2005,0.5099,15439684,30279209,0.5146,30003160,38635144,0.01,No
Europe,Poland,Presidential,2000,0.6112,17798791,29122304,0.6258,28443524,38742748,0.011,No
Europe,Poland,EU Parliament,2019,0.4569,13760974,30118852,0.4353,31615893,38356121,0.0083,No
Europe,Poland,EU Parliament,2014,0.2382,7297490,30636537,0.2362,30899955,38346279,0.0312,No
